time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
20,0,0,0,0,0,0,0,0,0,0,1.85,0,1,1,0
25,0,0,0,0,0,0,0,0,0,0,1.48,0,1,1,0
30,0,0,0,0,0,0,0,0,0,0,1.2333333333333334,0,1,1,0
35,0,0,0,0,0,0,0,0,0,0,1.0571428571428572,0,1,1,0
40,0,0,0,0,0,0,0,0,0,0,0.925,0,1,1,0
45,0,0,0,0,0,0,0,0,0,0,0.8222222222222222,0,1,1,0
50,0,0.02,1,0,0,0,0,0,0,0,4.76,0,0,0,0
55,0,0.03636363636363636,0.5,0,0,0,0.5,0,0,0,6.1454545454545455,0,0,0,0
60,0,0.03333333333333333,0.5,0,0,0,0.5,0,0,0,5.633333333333334,0,0,0,0
65,0,0.03076923076923077,0.5,0,0,0,0.5,0,0,0,5.2,0,0,0,0
70,0,0.02857142857142857,0.5,0,0,0,0.5,0,0,0,4.828571428571428,0,0,0,0
75,0,0.02666666666666667,0.5,0,0,0,0.5,0,0,0,5.28,0,0,0,0
80,0,0.025,0.5,0,0,0,0.5,0,0,0,5.325,0,0,0,0
85,0,0.023529411764705882,0.5,0,0,0,0.5,0,0,0,5.011764705882353,0,0,0,0
