time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,0.2,0,0,0,0,0,0,36,0,1,0,1
10,0,0.12,0,0.02,0,0,0,0.1,0,0,18,0,1,0,1
15,0,0.07466666666666667,0,0.068,0,0,0,0.006666666666666667,0,0,7.4,0,1,0,1
20,0,0.10373333333333332,0,0.0534,0,0,0,0.05033333333333333,0,0,16.869999999999997,0,1,0,1
25,0,0.08414933333333334,0,0.04213599999999999,0,0,0,0.002013333333333333,0.04,0,13.5548,0,1,0,1
30,0,0.03613831111111111,0,0.001404533333333333,0,0,0,0.03340044444444445,0.0013333333333333333,0,7.98516,0,1,0,1
35,0,0.05817538031746032,0,0.028611558095238094,0,0,0,0.029525726984126983,0.00003809523809523809,0,3.542433142857143,0,1,0,1
40,0,0.026454384507936506,0,0.025715288952380955,0,0,0,0.0007381431746031746,9.523809523809523e-7,0,5.538560828571429,0,1,0,1
45,0,0.022810097433509702,0,0.0005714508656084657,0,0,0,0.02223862540388007,2.1164021164021164e-8,0,1.3675235739682539,0,1,0,1
50,0,0.00045620194867019404,0,0.000011429017312169314,0,0,0,0.0004447725080776014,4.232804232804233e-10,0,0.027350471479365077,0,1,0,1
